timestamp_s,tag_detected,object_detected,cm_per_px,object_x_px,object_y_px,instant_cm_s,average_cm_s,distance_total_cm,valid,reason
1777556341.485909,True,True,0.36506089,191,406,0.000000,0.000000,0.000000,True,Primera muestra
1777556341.644831,True,True,0.36494972,191,406,0.000000,0.000000,0.000000,True,OK
1777556341.723064,True,True,0.36478369,191,406,0.000000,0.000000,0.000000,True,OK
1777556341.832016,True,True,0.36448083,190,406,3.345333,1.053086,0.364481,True,OK
1777556341.912541,True,True,0.36502881,190,407,4.533156,1.709928,0.729510,True,OK
1777556342.005925,True,True,0.36527752,190,407,0.000000,1.402861,0.729510,True,OK
1777556342.096725,True,True,0.36490225,190,408,4.018714,1.791720,1.094412,True,OK
1777556342.205926,True,True,0.36501533,190,407,3.342602,2.026933,1.459427,True,OK
1777556342.305990,True,True,0.36448458,190,407,0.000000,1.779612,1.459427,True,OK
1777556342.399504,True,True,0.36468858,190,407,0.000000,1.597455,1.459427,True,OK
1777556342.468705,True,True,0.36402516,190,407,0.000000,1.484975,1.459427,True,OK
1777556342.563387,True,True,0.36421168,190,407,0.000000,1.354484,1.459427,True,OK
1777556342.666684,True,True,0.36369887,190,407,0.000000,1.235991,1.459427,True,OK
1777556342.752084,True,True,0.36362921,190,407,0.000000,1.152626,1.459427,True,OK
1777556342.833271,True,True,0.36376717,190,407,0.000000,1.083174,1.459427,True,OK
1777556342.928027,True,True,0.36388586,190,407,0.000000,1.012003,1.459427,True,OK
1777556343.007022,True,True,0.36402918,190,408,4.608243,1.198765,1.823456,True,OK
1777556343.086575,True,True,0.36382548,189,408,4.573365,1.366482,2.187282,True,OK
1777556343.174986,True,True,0.36359604,189,408,0.000000,1.294957,2.187282,True,OK
1777556343.243849,True,True,0.36364484,189,408,0.000000,1.244230,2.187282,True,OK
1777556343.324183,True,True,0.36366930,189,408,0.000000,1.189856,2.187282,True,OK
1777556343.424614,True,True,0.36308406,189,409,3.615286,1.315500,2.550366,True,OK
1777556343.507328,True,True,0.36360151,188,409,4.395897,1.441546,2.913967,True,OK
1777556343.584899,True,True,0.36316277,189,409,4.681644,1.561289,3.277130,True,OK
1777556343.660978,True,True,0.36355479,188,408,6.758060,1.743059,3.791274,True,OK
1777556343.739612,True,True,0.36298513,189,408,4.616133,1.843304,4.154259,True,OK
1777556343.812630,True,True,0.36386586,189,409,4.983246,1.941843,4.518125,True,OK
1777556343.892079,True,True,0.36336951,188,409,4.573623,2.028741,4.881495,True,OK
1777556343.980476,True,True,0.36288351,189,408,5.805519,2.162575,5.394690,True,OK
1777556344.056176,True,True,0.36316790,189,408,0.000000,2.098883,5.394690,True,OK
1777556344.137280,True,True,0.36295488,188,408,4.475216,2.171573,5.757645,True,OK
1777556344.208066,True,True,0.36339636,188,408,0.000000,2.115104,5.757645,True,OK
1777556344.296869,True,True,0.36322236,188,408,0.000000,2.048284,5.757645,True,OK
1777556344.371087,True,True,0.36390337,188,408,0.000000,1.995594,5.757645,True,OK
1777556344.455143,True,True,0.36324552,188,408,0.000000,1.939101,5.757645,True,OK
1777556344.523965,True,True,0.36353371,187,409,7.470187,2.064399,6.271759,True,OK
1777556344.608408,True,True,0.36292638,187,409,0.000000,2.008570,6.271759,True,OK
1777556344.691806,True,True,0.36289717,187,409,0.000000,1.956319,6.271759,True,OK
1777556344.771435,True,True,0.36326335,187,409,0.000000,1.908906,6.271759,True,OK
1777556344.845701,True,True,0.36339311,187,409,0.000000,1.866711,6.271759,True,OK
1777556344.927372,True,True,0.36350390,187,409,0.000000,1.822411,6.271759,True,OK
1777556345.008210,True,True,0.36378442,187,409,0.000000,1.780585,6.271759,True,OK
1777556345.079836,True,True,0.36356847,187,409,0.000000,1.745099,6.271759,True,OK
1777556345.164557,True,True,0.36464570,187,409,0.000000,1.704909,6.271759,True,OK
1777556345.239264,True,True,0.36407768,186,410,6.892015,1.808153,6.786642,True,OK
1777556345.314371,True,True,0.36434767,186,409,4.851073,1.867849,7.150990,True,OK
1777556345.393549,True,True,0.36413946,186,409,0.000000,1.830002,7.150990,True,OK
1777556345.472754,True,True,0.36418519,186,409,0.000000,1.793646,7.150990,True,OK
1777556345.561508,True,True,0.36468494,186,409,0.000000,1.754586,7.150990,True,OK
1777556345.639359,True,True,0.36431291,186,409,0.000000,1.721699,7.150990,True,OK
1777556345.710630,True,True,0.36460491,186,409,0.000000,1.692654,7.150990,True,OK
1777556345.794164,True,True,0.36446854,186,409,0.000000,1.659834,7.150990,True,OK
1777556345.892865,True,True,0.36433636,186,408,3.691314,1.705333,7.515326,True,OK
1777556345.973969,True,True,0.36478482,186,408,0.000000,1.674516,7.515326,True,OK
1777556346.043176,True,True,0.36438367,186,407,5.265077,1.729043,7.879710,True,OK
1777556346.129903,True,True,0.36397364,186,407,0.000000,1.696753,7.879710,True,OK
1777556346.217301,True,True,0.36377639,186,407,0.000000,1.665411,7.879710,True,OK
1777556346.297686,True,True,0.36400468,186,405,9.056455,1.788886,8.607719,True,OK
1777556346.373466,True,True,0.36414923,186,404,4.805398,1.835655,8.971869,True,OK
1777556346.452760,True,True,0.36361610,186,404,0.000000,1.806349,8.971869,True,OK
1777556346.540123,True,True,0.36419970,187,403,5.895619,1.877033,9.486925,True,OK
1777556346.614900,True,True,0.36307304,187,403,0.000000,1.849667,9.486925,True,OK
1777556346.697960,True,True,0.36418222,187,402,4.384541,1.890063,9.851107,True,OK
1777556346.779339,True,True,0.36380058,187,402,0.000000,1.861006,9.851107,True,OK
1777556346.858176,True,True,0.36402620,187,403,4.617472,1.901457,10.215133,True,OK
1777556346.936406,True,True,0.36422732,187,402,4.655844,1.940990,10.579361,True,OK
1777556347.005153,True,True,0.36385210,187,402,0.000000,1.916813,10.579361,True,OK
1777556347.079621,True,True,0.36430400,187,402,0.000000,1.891295,10.579361,True,OK
1777556347.149583,True,True,0.36382536,186,402,5.200326,1.932171,10.943186,True,OK
1777556347.213265,True,True,0.36380472,186,402,0.000000,1.910687,10.943186,True,OK
1777556347.300494,True,True,0.36370172,186,402,0.000000,1.882023,10.943186,True,OK
1777556347.375067,True,True,0.36481137,186,405,14.676002,2.044031,12.037620,True,OK
1777556347.440164,True,True,0.36511425,186,408,16.826478,2.205643,13.132963,True,OK
1777556347.519351,True,True,0.36504692,187,411,14.577734,2.368025,14.287343,True,OK
1777556347.592667,True,True,0.36580859,187,415,19.958082,2.579204,15.750577,True,OK
1777556347.655822,True,True,0.36609636,188,418,18.331083,2.740440,16.908275,True,OK
1777556347.734785,True,True,0.36784155,188,424,27.950240,3.059002,19.115325,True,OK
1777556347.814286,True,True,0.36707744,188,431,32.321010,3.426608,21.684867,True,OK
1777556347.881135,True,True,0.36815133,189,434,17.415197,3.572831,22.849063,True,OK
1777556347.942255,True,True,0.36847816,189,437,18.086287,3.710225,23.954498,True,OK
1777556348.019310,True,True,0.36971557,190,442,24.465630,3.955013,25.839685,True,OK
1777556348.092265,True,True,0.36954973,190,446,20.261688,4.135091,27.317884,True,OK
1777556348.161603,True,True,0.36997453,191,450,22.000241,4.320649,28.843328,True,OK
1777556348.232367,True,True,0.37187017,192,455,26.795709,4.556391,30.739501,True,OK
1777556348.312513,True,True,0.37142092,192,462,32.440097,4.883753,33.339447,True,OK
1777556348.382464,True,True,0.37099500,194,464,15.000899,4.986370,34.388780,True,OK
1777556348.445511,True,True,0.37281264,194,470,35.479803,5.262608,36.625656,True,OK
1777556348.533119,True,True,0.37373121,195,474,17.588840,5.415843,38.166589,True,OK
1777556348.608688,True,True,0.37402627,196,477,15.651656,5.524440,39.349364,True,OK
1777556348.687469,True,True,0.37393525,196,479,9.493016,5.567854,40.097234,True,OK
1777556348.758606,True,True,0.37399381,197,481,11.755854,5.628381,40.933510,True,OK
1777556348.837710,True,True,0.37432765,197,483,9.464254,5.669654,41.682165,True,OK
1777556348.913797,True,True,0.37486311,197,483,0.000000,5.611577,41.682165,True,OK
1777556348.980387,True,True,0.37441585,197,482,5.622678,5.611676,42.056581,True,OK
1777556349.045472,True,True,0.37433849,197,482,0.000000,5.563362,42.056581,True,OK
1777556349.122720,True,True,0.37471940,197,481,4.850871,5.556155,42.431300,True,OK
1777556349.202559,True,True,0.37411964,198,481,4.685870,5.547150,42.805420,True,OK
1777556349.272334,True,True,0.37369915,198,482,5.355803,5.545436,43.179119,True,OK
1777556349.344763,True,True,0.37339571,198,484,10.310711,5.589353,43.925911,True,OK
1777556349.423671,True,True,0.37403883,198,486,9.480296,5.628033,44.673988,True,OK
1777556349.502538,True,True,0.37401210,198,490,18.969267,5.759283,46.170037,True,OK
1777556349.576018,True,True,0.37378447,198,494,20.347711,5.891784,47.665175,True,OK
1777556349.644479,True,True,0.37440430,198,498,21.875498,6.025908,49.162792,True,OK
1777556349.723247,True,True,0.37478548,199,503,24.261532,6.200283,51.073830,True,OK
1777556349.786283,True,True,0.37461147,199,510,41.599434,6.469119,53.696111,True,OK
1777556349.849212,True,True,0.37445506,199,513,17.851471,6.554764,54.819476,True,OK
1777556349.928693,True,True,0.37555397,200,518,24.093157,6.719872,56.734433,True,OK
1777556349.991783,True,True,0.37525420,200,522,23.791643,6.846498,58.235450,True,OK
1777556350.055329,True,True,0.37574413,201,527,30.150260,7.019305,60.151376,True,OK
1777556350.134673,True,True,0.37591082,201,532,23.688806,7.172231,62.030930,True,OK
1777556350.197840,True,True,0.37608744,201,536,23.815222,7.292904,63.535280,True,OK
1777556350.277306,True,True,0.37676081,202,540,19.548384,7.403682,65.088705,True,OK
1777556350.341966,True,True,0.37691026,202,545,29.145518,7.562424,66.973256,True,OK
